         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      19:46:30.00      |     58°36.51'N     |     140°50.98'E     |
|      19:46:00.00      |     58°20.45'N     |     141°06.70'E     |
|      19:45:30.00      |     58°04.39'N     |     141°22.31'E     |
|      19:45:00.00      |     57°48.31'N     |     141°37.79'E     |
|      19:44:30.00      |     57°32.22'N     |     141°53.16'E     |
|      19:44:00.00      |     57°16.11'N     |     142°08.41'E     |
|      19:43:30.00      |     57°00.00'N     |     142°23.55'E     |
|      19:43:00.00      |     56°43.87'N     |     142°38.59'E     |
|      19:42:30.00      |     56°27.73'N     |     142°53.52'E     |
|      19:42:00.00      |     56°11.58'N     |     143°08.35'E     |
|      19:41:30.00      |     55°55.42'N     |     143°23.08'E     |
|      19:41:00.00      |     55°39.24'N     |     143°37.71'E     |
|      19:40:30.00      |     55°23.05'N     |     143°52.25'E     |
|      19:40:00.00      |     55°06.85'N     |     144°06.69'E     |
|      19:39:30.00      |     54°50.63'N     |     144°21.04'E     |
|      19:39:00.00      |     54°34.41'N     |     144°35.31'E     |
|      19:38:30.00      |     54°18.17'N     |     144°49.49'E     |
|      19:38:00.00      |     54°01.92'N     |     145°03.58'E     |
|      19:37:30.00      |     53°45.65'N     |     145°17.59'E     |
|      19:37:00.00      |     53°29.38'N     |     145°31.52'E     |
|      19:36:30.00      |     53°13.09'N     |     145°45.37'E     |
|      19:36:00.00      |     52°56.79'N     |     145°59.14'E     |
|      19:35:30.00      |     52°40.47'N     |     146°12.83'E     |
|      19:35:00.00      |     52°24.15'N     |     146°26.46'E     |
|      19:34:30.00      |     52°07.81'N     |     146°40.01'E     |
|      19:34:00.00      |     51°51.46'N     |     146°53.49'E     |
|      19:33:30.00      |     51°35.10'N     |     147°06.89'E     |
|      19:33:00.00      |     51°18.73'N     |     147°20.24'E     |
|      19:32:30.00      |     51°02.34'N     |     147°33.51'E     |
